round,sack,skull bone,torso bone,leg bone,tail bone,total
1,A. Torso-Focused Sack,3,7,4,1,15
1,B. Leg-Focused Sack,3,4,6,2,15
1,C. Skull-Focused Sack,6,4,3,2,15
1,D. Tail-Focused Sack,2,4,3,6,15
1,E. Balanced Sack,3,6,4,2,15
2,A. Torso-Focused Sack,3,9,4,2,18
2,B. Leg-Focused Sack,3,5,8,2,18
2,C. Skull-Focused Sack,7,5,4,2,18
2,D. Tail-Focused Sack,3,5,3,7,18
2,E. Balanced Sack,4,6,5,3,18
3,A. Torso-Focused Sack,4,10,4,2,20
3,B. Leg-Focused Sack,4,6,8,2,20
3,C. Skull-Focused Sack,8,6,4,2,20
3,D. Tail-Focused Sack,2,5,4,9,20
3,E. Balanced Sack,4,7,7,2,20
4,A. Torso-Focused Sack,4,11,5,2,22
4,B. Leg-Focused Sack,4,7,9,2,22
4,C. Skull-Focused Sack,9,7,4,2,22
4,D. Tail-Focused Sack,3,6,4,9,22
4,E. Balanced Sack,4,6,8,4,22
5,A. Torso-Focused Sack,5,12,5,2,24
5,B. Leg-Focused Sack,5,8,9,2,24
5,C. Skull-Focused Sack,10,7,5,2,24
5,D. Tail-Focused Sack,3,6,5,10,24
5,E. Balanced Sack,4,7,9,4,24
6,A. Torso-Focused Sack,5,13,6,2,26
6,B. Leg-Focused Sack,5,8,11,2,26
6,C. Skull-Focused Sack,11,8,5,2,26
6,D. Tail-Focused Sack,3,7,5,11,26
6,E. Balanced Sack,5,8,8,5,26
